Card Number,Card Name,Suit,Arcana,Numerical Value,Element,Astrological Association,Keywords,Upright Meaning,Reversed Meaning,Symbolism,Affirmation,Traditional Interpretation,Modern Interpretation,Mythological Connection,Numerology,Chakra Association,Rider-Waite Description,Alternative Deck Descriptions,Card Image Description
76,Queen of Pentacles,Pentacles,Minor,13,Earth,Water of Earth,"Nurturing, practicality, resourcefulness","Nurturing, practicality, and a resourceful approach to managing resources and well-being.","Neglect, materialism, and an overemphasis on financial matters.","Throne (authority), pentacle (material focus), rabbit (fertility)","""I nurture my resources with practicality and care, creating abundance in my life.""",Representing the nurturing and practical management of resources and the creation of abundance.,Emphasizing the importance of being resourceful and practical in nurturing one's well-being and financial security.,"Linked to figures like Demeter, the nurturing goddess of the harvest and fertility.","The Queen signifies nurturing, practicality, and the mastery of managing material resources.",Heart Chakra,"Depicts a queen seated on a throne, holding a pentacle, with a serene expression, surrounded by symbols of fertility and abundance.","In some decks, the Queen of Pentacles is shown as a figure or scene embodying nurturing and practical resourcefulness.","A queen seated on a throne, holding a pentacle, with a serene expression, surrounded by symbols of fertility and abundance, symbolizing nurturing and practicality."
77,King of Pentacles,Pentacles,Minor,14,Earth,Fire of Earth,"Abundance, security, leadership","Abundance, security, and a strong leadership in managing material success.","Greed, mismanagement, and an overemphasis on material wealth.","Throne (authority), pentacle (material wealth), grapes (abundance)","""I lead with wisdom and create security and abundance in my life and for those around me.""",Representing the mastery of material success and the creation of security and abundance through wise leadership.,Emphasizing the importance of leading with wisdom and ensuring the security and abundance of material resources.,"Associated with King Midas, symbolizing the balance of wealth and wise leadership.","The King signifies mastery, authority, and the fulfillment of material success.",Root Chakra,"Depicts a king seated on a throne, holding a pentacle, surrounded by symbols of wealth and abundance, exuding a sense of security and leadership.","In some decks, the King of Pentacles is shown as a figure or scene embodying the mastery of material success and leadership.","A king seated on a throne, holding a pentacle, surrounded by symbols of wealth and abundance, exuding a sense of security and leadership, symbolizing abundance and authority."
78,Ace of Wands,Wands,Minor,1,Fire,"Aries, Leo, Sagittarius","Inspiration, creation, potential","New beginnings, creativity, and inspired action.","Lack of direction, delays, and missed opportunities.","Sprouting wand (new growth), hand (divine offering), flames (inspiration)","""I embrace new opportunities with creative energy and passion.""",Representing the spark of new ideas and the energy to pursue them.,Emphasizing the importance of taking inspired action and starting new projects.,"Linked to Prometheus, who brought fire to humanity, symbolizing inspiration and creativity.","The Ace signifies new beginnings, potential, and the energy to initiate action.",Solar Plexus Chakra,"Depicts a hand emerging from a cloud, holding a sprouting wand, symbolizing new potential and creation.","In some decks, the Ace of Wands is shown as a wand surrounded by flames or symbols of growth and inspiration.","A hand emerging from a cloud, holding a sprouting wand, symbolizing new opportunities and creative energy, representing inspiration and potential."
5,The Hierophant,Major Arcana,Major,5,Earth,Taurus,"Tradition, conformity, morality","Spiritual guidance, tradition, and conformity.","Rebellion, subversiveness, new approaches.","Keys (knowledge), pillars (support), staff (authority)","""I honor tradition and seek spiritual guidance.""",Representing established beliefs and institutions.,Emphasizing structured learning and spiritual mentorship.,"Linked to Hierophant, the Greek high priest.","The number 5 signifies change, challenge, and freedom.",Throat Chakra,"Depicts a religious figure seated between two pillars, holding a staff.","In some decks, the Hierophant is shown with acolytes or followers.","A religious figure in ceremonial attire, seated between two pillars, holding a staff."
6,The Lovers,Major Arcana,Major,6,Air,Gemini,"Love, harmony, relationships","Union, harmony, and choices in relationships.","Imbalance, misalignment, and broken relationships.","Angel (divine love), apple tree (temptation), serpent (knowledge)","""I embrace love and harmony in my relationships.""","Representing love, partnership, and meaningful choices.",Emphasizing the importance of balance and connection in relationships.,Associated with the myth of Cupid and Psyche.,"The number 6 signifies harmony, balance, and relationships.",Heart Chakra,"Depicts a man and woman standing under an angel, with the Tree of Knowledge behind them.",Some decks show the Lovers as intertwined figures representing duality.,"A man and woman standing beneath an angel, with a tree and serpent in the background."
7,The Chariot,Major Arcana,Major,7,Water,Cancer,"Willpower, determination, success","Victory, assertion, and control over one's direction.","Lack of control, aggression, and scattered energy.","Sphinxes (mystery), chariot (movement), stars (divine guidance)","""I steer my life with determination and control.""",Symbolizing triumph and mastery over external forces.,Emphasizing goal achievement through focus and willpower.,"Linked to Apollo, the chariot-driving sun god.","The number 7 signifies introspection, spiritual awakening, and mastery.",Solar Plexus Chakra,Depicts a figure in a chariot pulled by black and white sphinxes.,"In some decks, the Chariot is shown with horses or other mythical creatures.","A figure in a chariot pulled by black and white sphinxes, holding a wand."
8,Strength,Major Arcana,Major,8,Fire,Leo,"Courage, strength, patience","Inner strength, courage, and compassion.","Self-doubt, weakness, and lack of confidence.","Lion (courage), infinity symbol (eternity), flowers (gentleness)","""I am strong, courageous, and compassionate.""",Representing the balance of power and gentleness.,Emphasizing personal empowerment and resilience.,Associated with Hercules and his feats of strength.,"The number 8 signifies power, strength, and abundance.",Heart Chakra,"Depicts a woman gently holding a lion's jaws open, with an infinity symbol above her head.","In some decks, Strength is represented by a figure taming a lion with a gentle touch.","A woman gently holding a lion's jaws open, with an infinity symbol above her head."
9,The Hermit,Major Arcana,Major,9,Earth,Virgo,"Introspection, solitude, guidance","Seeking wisdom, introspection, and inner guidance.","Isolation, loneliness, and withdrawal.","Lantern (guidance), staff (support), mountain (spiritual quest)","""I seek wisdom and guidance from within.""",Symbolizing the pursuit of knowledge and introspection.,Emphasizing self-reflection and inner growth.,Linked to the myth of the wise old man or sage.,"The number 9 signifies completion, wisdom, and introspection.",Third Eye Chakra,"Depicts an old man holding a lantern and a staff, standing alone on a mountain.","In some decks, the Hermit is shown with symbols of wisdom and solitude.","An old man holding a lantern and a staff, standing alone on a mountain."
10,Wheel of Fortune,Major Arcana,Major,10,Fire,Jupiter,"Change, cycles, destiny","Good luck, karma, and the cycle of life.","Bad luck, resistance to change, and upheaval.","Wheel (cycles), sphinx (wisdom), snake (transformation)","""I embrace the cycles of change and growth.""",Representing the ebb and flow of life and fate.,Emphasizing change and the acceptance of life's fluctuations.,"Associated with the Greek Moirai, or Fates.","The number 10 signifies completion, wholeness, and the beginning of a new cycle.",Root Chakra,"Depicts a large wheel with various mystical symbols, representing the cycles of fate.",Some decks show the Wheel of Fortune with zodiac signs and mystical symbols.,"A large wheel adorned with symbols and mystical creatures, representing the cycles of fate."
11,Justice,Major Arcana,Major,11,Air,Libra,"Fairness, truth, law","Balance, justice, and impartial decision-making.","Injustice, unfairness, and lack of accountability.","Scales (balance), sword (truth), pillars (support)","""I seek balance and justice in all aspects of my life.""","Symbolizing fairness, law, and ethical decisions.",Emphasizing the importance of truth and balanced judgment.,"Linked to Themis, the Greek goddess of justice.","The number 11 signifies intuition, justice, and spiritual insight.",Heart Chakra,"Depicts a figure holding a sword and scales, seated between two pillars.","In some decks, Justice is shown with symbols of law and balance.","A figure seated between two pillars, holding a sword and scales, symbolizing fairness and balance."
12,The Hanged Man,Major Arcana,Major,12,Water,Neptune,"Sacrifice, letting go, new perspective","Surrender, contemplation, and gaining new insights.","Resistance, stalling, and indecision.","Halo (enlightenment), inverted figure (new perspective), rope (sacrifice)","""I embrace new perspectives and let go of the old.""",Representing self-sacrifice and the wisdom gained through surrender.,Emphasizing the value of viewing situations from different angles.,"Associated with Odin, who hung from Yggdrasil for wisdom.","The number 12 signifies completion, cycles, and the blending of opposites.",Crown Chakra,"Depicts a man hanging upside down from a tree, with a serene expression and a glowing halo.","Some decks show the Hanged Man as a figure in contemplation, often inverted.","A man hanging upside down from a tree, with a glowing halo around his head."
13,Death,Major Arcana,Major,13,Water,Scorpio,"Transformation, endings, rebirth","Major change, transformation, and the end of a cycle.","Resistance to change, stagnation, and fear of new beginnings.","Skeleton (mortality), scythe (harvest), rising sun (rebirth)","""I embrace transformation and the new beginnings it brings.""",Representing the end of a phase and the start of a new one.,Emphasizing transformation and the need to let go of the past.,"Linked to Hades, the god of the underworld.","The number 13 signifies transformation, renewal, and change.",Root Chakra,"Depicts a skeletal figure in black armor riding a white horse, carrying a banner.","In some decks, Death is shown as a transformative force rather than a figure.","A skeletal figure in black armor riding a white horse, carrying a banner with a white rose."
14,Temperance,Major Arcana,Major,14,Fire,Sagittarius,"Balance, harmony, moderation","Balance, moderation, and harmonious relationships.","Imbalance, excess, and conflict.","Water (emotions), cups (balance), path (journey)","""I seek balance and harmony in all aspects of my life.""",Representing the blending of opposites and finding equilibrium.,Emphasizing the need for balance and moderation in life.,"Associated with Iris, the goddess of the rainbow and balance.","The number 14 signifies temperance, balance, and synthesis.",Solar Plexus Chakra,"Depicts an angelic figure pouring water between two cups, with one foot on land and one in water.",Some decks show Temperance as a figure blending elements or energies.,"An angelic figure with one foot on land and one in water, pouring water between two cups."
15,The Devil,Major Arcana,Major,15,Earth,Capricorn,"Bondage, materialism, temptation","Addiction, materialism, and unhealthy attachments.","Freedom from restraint, breaking free, and self-awareness.","Chains (bondage), inverted pentagram (materialism), flames (desire)","""I acknowledge my shadows and seek liberation from them.""",Representing enslavement to earthly desires and temptations.,Emphasizing the need to confront and overcome personal demons.,"Associated with Pan, the Greek god of nature and wildness.","The number 15 signifies challenges, material struggles, and the need for balance.",Root Chakra,Depicts a horned figure sitting on a throne with two humans chained at his feet.,"In some decks, the Devil is shown with more abstract symbols of bondage and desire.","A horned, demonic figure seated on a throne, with two chained figures at his feet."
16,The Tower,Major Arcana,Major,16,Fire,Mars,"Upheaval, sudden change, revelation","Sudden upheaval, revelation, and unexpected change.","Avoidance of disaster, delaying the inevitable, and resistance to change.","Lightning (sudden insight), tower (foundation), falling figures (collapse)","""I embrace change and transformation, even in times of chaos.""",Representing the sudden and complete breakdown of old structures.,Emphasizing the necessity and benefits of dramatic change.,"Linked to the Tower of Babel, symbolizing the fall of pride.",The number 16 signifies sudden changes and the breakdown of old patterns.,Solar Plexus Chakra,"Depicts a tall tower being struck by lightning, with figures falling from it.",Some decks show the Tower as a crumbling edifice or an exploding structure.,"A tall tower struck by lightning, with figures falling from it amidst flames and chaos."
17,The Star,Major Arcana,Major,17,Air,Aquarius,"Hope, inspiration, renewal","Hope, inspiration, and spiritual renewal.","Despair, lack of faith, and disconnection from spirit.","Stars (guidance), water (healing), naked woman (purity)","""I am filled with hope and inspiration, guiding my path forward.""",Representing hope and renewal after a period of difficulty.,Emphasizing the power of positive thinking and spiritual connection.,"Associated with Pandora, who released hope into the world.","The number 17 signifies insight, spiritual growth, and enlightenment.",Throat Chakra,"Depicts a naked woman kneeling by water, pouring water onto the land and into the pool, with a large star overhead.","Some decks show the Star as a figure illuminated by celestial light, symbolizing guidance.","A naked woman kneeling by a pool, pouring water onto the land and into the pool, with a large star shining above her."
18,The Moon,Major Arcana,Major,18,Water,Pisces,"Illusion, intuition, the unconscious","Illusion, intuition, and the exploration of the unconscious mind.","Confusion, fear, and the inability to distinguish reality from illusion.","Moon (intuition), dogs (guardianship), path (journey)","""I trust my intuition and explore the depths of my unconscious mind.""","Representing dreams, the subconscious, and the mysterious aspects of life.",Emphasizing the importance of intuition and the exploration of inner shadows.,"Linked to Artemis, the goddess of the moon and the hunt.","The number 18 signifies introspection, hidden truths, and the exploration of the unknown.",Third Eye Chakra,"Depicts a moonlit scene with a path winding between two towers, a dog and a wolf howling at the moon, and a crawfish emerging from the water.","In some decks, the Moon is shown with more abstract representations of dreams and illusions.","A moonlit landscape with a path winding between two towers, a dog and a wolf howling at the moon, and a crawfish emerging from the water."
19,The Sun,Major Arcana,Major,19,Fire,Sun,"Joy, success, vitality","Joy, success, and a sense of vitality and abundance.","Temporary setbacks, over-optimism, and feeling drained.","Sunflower (growth), sun (vitality), child (innocence)","""I am filled with joy, success, and the light of the sun.""","Representing happiness, success, and a sense of fulfillment.",Emphasizing the power of positivity and the energy of life.,"Associated with Apollo, the sun god.","The number 19 signifies new beginnings, happiness, and the culmination of efforts.",Solar Plexus Chakra,"Depicts a radiant sun shining down on a joyful child riding a white horse, with sunflowers in the background.",Some decks show the Sun as a symbol of radiant energy and success.,"A bright sun shining over a joyous child riding a white horse, with sunflowers in the background."
20,Judgement,Major Arcana,Major,20,Fire,Pluto,"Rebirth, judgement, inner calling","Renewal, evaluation, and a sense of rebirth.","Self-doubt, inner critic, and ignoring the call.","Angel (divine intervention), trumpet (call to action), rising figures (awakening)","""I answer my inner calling with confidence and clarity.""",Representing judgment and the awakening of the soul.,Emphasizing the importance of self-evaluation and embracing new beginnings.,"Linked to the Phoenix, symbolizing rebirth and renewal.","The number 20 signifies reflection, balance, and a call to higher purpose.",Throat Chakra,"Depicts an angel blowing a trumpet, with people rising from their graves, reaching towards the angel.","In some decks, Judgement is shown as a figure or scene representing awakening and renewal.","An angel blowing a trumpet, with figures rising from their graves, symbolizing a call to awakening and rebirth."
21,The World,Major Arcana,Major,21,Earth,Saturn,"Completion, integration, accomplishment","Completion, wholeness, and a sense of fulfillment.","Lack of closure, incompletion, and feeling unfulfilled.","Wreath (victory), four figures (elements), dancer (integration)","""I am complete and integrated, celebrating my achievements.""",Representing the culmination of a journey and the attainment of goals.,Emphasizing the celebration of accomplishments and the feeling of completeness.,"Associated with the Ouroboros, symbolizing the eternal cycle of life.","The number 21 signifies completion, fulfillment, and the full circle of experience.",Root Chakra,"Depicts a naked woman dancing inside a wreath, surrounded by four figures representing the elements.",Some decks show the World as a figure or scene representing completeness and unity.,"A dancing woman inside a wreath, with four figures in the corners representing the elements, symbolizing completeness and achievement."
22,Ace of Wands,Wands,Minor,1,Fire,"Aries, Leo, Sagittarius","Inspiration, creation, potential","New beginnings, creativity, and inspired action.","Lack of direction, delays, and missed opportunities.","Sprouting wand (new growth), hand (divine offering), flames (inspiration)","""I embrace new opportunities with creative energy and passion.""",Representing the spark of new ideas and the energy to pursue them.,Emphasizing the importance of taking inspired action and starting new projects.,"Linked to Prometheus, who brought fire to humanity.","The Ace signifies new beginnings, potential, and the energy to initiate action.",Solar Plexus Chakra,"Depicts a hand emerging from a cloud, holding a sprouting wand, symbolizing new potential and creation.","In some decks, the Ace of Wands is shown as a wand surrounded by flames or symbols of growth.","A hand emerging from a cloud, holding a sprouting wand, symbolizing new opportunities and creative energy."
23,Two of Wands,Wands,Minor,2,Fire,Mars in Aries,"Planning, decision, foresight","Planning for the future, making decisions, and taking initiative.","Lack of planning, fear of change, and hesitation.","Two wands (choices), globe (worldview), castle (stability)","""I plan my future with foresight and decisive action.""",Representing the need to look ahead and make decisions for future success.,Emphasizing the importance of planning and strategic thinking.,"Associated with Jason, who planned the quest for the Golden Fleece.","The number 2 signifies duality, choices, and partnership.",Third Eye Chakra,"Depicts a man holding a globe, standing between two wands, looking out over a vast landscape.","In some decks, the Two of Wands is shown as a figure making plans or looking to the future.","A man holding a globe, standing between two wands, looking out over a vast landscape, symbolizing planning and foresight."
24,Three of Wands,Wands,Minor,3,Fire,Sun in Aries,"Expansion, vision, opportunities","Expansion, long-term vision, and seeing opportunities.","Obstacles to progress, lack of foresight, and missed opportunities.","Three wands (growth), ships (ventures), horizon (future)","""I expand my horizons and embrace new opportunities with vision.""",Representing the anticipation of success and the expansion of one's goals.,Emphasizing the need to look ahead and recognize new opportunities.,"Linked to Odysseus, who looked to new horizons and adventures.","The number 3 signifies growth, expansion, and creativity.",Solar Plexus Chakra,"Depicts a figure standing on a cliff, looking out over ships on the horizon.",Some decks show the Three of Wands as a figure or scene representing foresight and the anticipation of growth.,"A figure standing on a cliff, looking out over ships on the horizon, symbolizing expansion and the anticipation of new opportunities."
25,Four of Wands,Wands,Minor,4,Fire,Venus in Aries,"Celebration, harmony, home","Celebration, harmony, and a sense of community.","Lack of support, conflict at home, and personal difficulties.","Four wands (stability), garland (celebration), castle (home)","""I celebrate my achievements and the harmony in my life.""",Representing joyous occasions and the celebration of achievements.,Emphasizing the importance of community and harmonious relationships.,Linked to the Greek festivals and celebrations in honor of the gods.,"The number 4 signifies stability, foundation, and structure.",Heart Chakra,"Depicts two figures holding flowers, standing under a garland-draped structure of four wands.","In some decks, the Four of Wands is shown with scenes of celebration and community.","Two figures holding flowers, standing under a garland-draped structure of four wands, symbolizing celebration and harmony."
26,Five of Wands,Wands,Minor,5,Fire,Saturn in Leo,"Conflict, competition, struggle","Conflict, competition, and the struggle to prove oneself.","Avoidance of conflict, compromise, and finding solutions.","Five wands (conflict), figures (competition), chaotic scene (struggle)","""I navigate challenges with grace and seek harmony.""",Representing conflict and the challenges of overcoming opposition.,Emphasizing the need to address and resolve conflicts constructively.,"Associated with the trials of Hercules, representing struggles and challenges.","The number 5 signifies conflict, change, and dynamic movement.",Solar Plexus Chakra,"Depicts five figures wielding wands, appearing to be in conflict or competition.","Some decks show the Five of Wands as a scene of chaos and struggle, representing competition.","Five figures wielding wands in a chaotic scene, symbolizing conflict and competition."
27,Six of Wands,Wands,Minor,6,Fire,Jupiter in Leo,"Victory, success, recognition","Victory, public recognition, and success.","Fall from grace, lack of recognition, and delayed success.","Laurel wreath (victory), horse (triumph), crowd (recognition)","""I celebrate my victories and the recognition of my efforts.""",Representing triumph and the recognition of achievements.,Emphasizing the importance of celebrating successes and the acknowledgment of accomplishments.,"Linked to the triumphs of heroes like Achilles, celebrated for their victories.","The number 6 signifies harmony, success, and accomplishment.",Solar Plexus Chakra,"Depicts a figure riding a horse, holding a wand with a laurel wreath, surrounded by a cheering crowd.","In some decks, the Six of Wands is shown as a figure or scene celebrating victory and success.","A figure riding a horse, holding a wand with a laurel wreath, surrounded by a cheering crowd, symbolizing victory and recognition."
28,Seven of Wands,Wands,Minor,7,Fire,Mars in Leo,"Defensiveness, perseverance, challenge","Standing your ground, perseverance, and facing challenges.","Overwhelmed, giving up, and feeling defenseless.","Seven wands (challenges), figure (defense), elevated position (advantage)","""I stand my ground and face challenges with strength and perseverance.""",Representing the need to defend oneself and maintain one's position.,Emphasizing the importance of standing firm in the face of opposition.,"Associated with the struggles of warriors like Odysseus, who faced numerous challenges.","The number 7 signifies introspection, challenge, and the pursuit of truth.",Solar Plexus Chakra,"Depicts a figure standing on a hill, wielding a wand to defend against six others below.",Some decks show the Seven of Wands as a figure or scene of determined defense against multiple challenges.,"A figure standing on a hill, wielding a wand to defend against six others below, symbolizing defensiveness and perseverance."
29,Eight of Wands,Wands,Minor,8,Fire,Mercury in Sagittarius,"Speed, movement, progress","Swift action, progress, and rapid movement.","Delays, obstacles, and a lack of movement.","Eight wands (movement), flying (speed), clear sky (unobstructed progress)","""I embrace swift progress and move forward with clarity and purpose.""",Representing rapid progress and the swift movement towards goals.,Emphasizing the importance of taking decisive action and moving forward quickly.,"Linked to Hermes, the messenger god, known for his speed.","The number 8 signifies movement, power, and the flow of energy.",Solar Plexus Chakra,"Depicts eight wands flying through the air, symbolizing swift movement and progress.","In some decks, the Eight of Wands is shown with symbols of rapid movement and progress.","Eight wands flying through a clear sky, symbolizing swift movement and progress towards goals."
30,Nine of Wands,Wands,Minor,9,Fire,Moon in Sagittarius,"Resilience, persistence, test of faith","Resilience, persistence, and standing firm through challenges.","Exhaustion, reluctance to continue, and feeling overwhelmed.","Nine wands (barriers), bandaged figure (resilience), defensive stance (protection)","""I persist and stand strong, even in the face of adversity.""",Representing perseverance and the ability to withstand ongoing challenges.,Emphasizing the importance of resilience and maintaining strength despite difficulties.,"Linked to the story of Atlas, who bore the weight of the heavens.","The number 9 signifies completion, resilience, and the culmination of efforts.",Solar Plexus Chakra,"Depicts a weary figure with a bandaged head standing guard, holding a wand, with eight more wands behind them.","In some decks, the Nine of Wands is shown as a figure or scene of determination and resilience in the face of obstacles.","A weary figure with a bandaged head standing guard, holding a wand, with eight more wands behind them, symbolizing resilience and persistence."
31,Ten of Wands,Wands,Minor,10,Fire,Saturn in Sagittarius,"Burden, responsibility, hard work","Carrying burdens, responsibility, and feeling weighed down.","Relief from burdens, delegation, and overcoming obstacles.","Ten wands (burden), struggling figure (hard work), journey (responsibility)","""I manage my responsibilities and lighten my load with ease.""",Representing the challenges of bearing heavy responsibilities and burdens.,Emphasizing the need to manage and delegate responsibilities to avoid burnout.,"Associated with Sisyphus, who was condemned to endlessly push a boulder uphill.","The number 10 signifies completion, burden, and the responsibility of carrying forward.",Root Chakra,"Depicts a figure carrying a heavy load of ten wands, struggling towards their destination.","In some decks, the Ten of Wands is shown as a figure burdened by a heavy load, symbolizing responsibility and struggle.","A figure carrying a heavy load of ten wands, struggling towards their destination, symbolizing burden and hard work."
32,Page of Wands,Wands,Minor,11,Fire,Earth of Fire,"Inspiration, exploration, enthusiasm","Inspiration, youthful enthusiasm, and the beginning of a new journey.","Lack of direction, procrastination, and fear of new ventures.","Young figure (youth), staff (exploration), barren land (potential)","""I explore new opportunities with enthusiasm and open-mindedness.""",Representing the start of a new adventure and the enthusiasm that accompanies it.,Emphasizing the importance of embracing new ideas and opportunities with a fresh perspective.,"Linked to the spirit of adventure and exploration, like the youthful Hermes.","The Page signifies new beginnings, enthusiasm, and the potential for growth.",Root Chakra,"Depicts a young figure holding a staff, standing in a barren land, looking towards new horizons.","In some decks, the Page of Wands is shown as a youthful figure or scene of exploration and new beginnings.","A young figure holding a staff, standing in a barren land, looking towards new horizons, symbolizing inspiration and exploration."
33,Knight of Wands,Wands,Minor,12,Fire,Air of Fire,"Action, adventure, impulsiveness","Energetic pursuit of goals, adventurous spirit, and quick action.","Impulsiveness, lack of focus, and scattered energy.","Knight (action), horse (movement), desert (challenges)","""I take bold and decisive action, embracing adventure and progress.""",Representing the drive and energy to pursue one's goals with vigor.,Emphasizing the importance of taking bold action and embracing adventure.,"Associated with knights and heroes who pursue quests with fervor, like Lancelot.","The Knight signifies action, adventure, and the drive to achieve goals.",Solar Plexus Chakra,"Depicts a knight riding a rearing horse, holding a wand, charging forward with energy and determination.","In some decks, the Knight of Wands is shown as a dynamic figure or scene of action and adventure.","A knight riding a rearing horse, holding a wand, charging forward with energy and determination, symbolizing action and adventure."
34,Queen of Wands,Wands,Minor,13,Fire,Water of Fire,"Confidence, independence, vibrancy","Confidence, independence, and the vibrancy of a dynamic personality.","Jealousy, insecurity, and being overbearing.","Throne (authority), sunflower (vitality), black cat (intuition)","""I radiate confidence and independence, embracing my vibrant energy.""","Representing a strong, independent, and charismatic personality.",Emphasizing the power of self-confidence and the dynamic energy of leadership.,"Linked to strong, vibrant figures like the Queen of Sheba.","The Queen signifies confidence, nurturing leadership, and the power of a vibrant personality.",Solar Plexus Chakra,"Depicts a queen seated on a throne, holding a sunflower in one hand and a wand in the other, with a black cat at her feet.","In some decks, the Queen of Wands is shown as a powerful, independent figure exuding confidence and energy.","A queen seated on a throne, holding a sunflower and a wand, with a black cat at her feet, symbolizing confidence and independence."
35,King of Wands,Wands,Minor,14,Fire,Fire of Fire,"Leadership, vision, charisma","Leadership, vision, and a strong sense of charisma.","Impulsiveness, overbearing nature, and ruthlessness.","Throne (authority), salamander (transformation), crown (leadership)","""I lead with vision and charisma, embracing my role as a leader.""","Representing a strong, charismatic leader with a clear vision.",Emphasizing the importance of strong leadership and visionary thinking.,Associated with powerful leaders like King Arthur.,"The King signifies mastery, leadership, and the culmination of the suit's qualities.",Solar Plexus Chakra,"Depicts a king seated on a throne, holding a wand, with a salamander at his feet.","In some decks, the King of Wands is shown as a powerful, commanding figure exuding confidence and authority.","A king seated on a throne, holding a wand, with a salamander at his feet, symbolizing leadership and vision."
36,Ace of Cups,Cups,Minor,1,Water,"Cancer, Scorpio, Pisces","Love, new beginnings, emotional overflow","New emotional beginnings, love, and overflowing emotions.","Emotional blockages, lack of emotional fulfillment, and unexpressed feelings.","Cup (emotion), water (overflowing), dove (peace)","""I welcome new emotional beginnings and embrace the flow of love.""",Representing the start of new emotional experiences and relationships.,Emphasizing the importance of embracing new emotional opportunities and connections.,"Linked to Aphrodite, the goddess of love and beauty.","The Ace signifies new beginnings, potential, and the flow of emotions.",Heart Chakra,"Depicts a hand emerging from a cloud, holding a cup overflowing with water, with a dove above it.","In some decks, the Ace of Cups is shown as a cup overflowing with water, symbolizing new emotional beginnings.","A hand emerging from a cloud, holding a cup overflowing with water, with a dove above it, symbolizing new emotional beginnings and love."
37,Two of Cups,Cups,Minor,2,Water,Venus in Cancer,"Partnership, union, harmony","Partnership, union, and harmonious relationships.","Breakdown of communication, imbalance, and disharmony.","Two cups (partnership), caduceus (balance), intertwined figures (union)","""I embrace harmonious partnerships and the balance they bring.""",Representing the union and balance of two individuals or forces.,Emphasizing the importance of harmonious relationships and partnerships.,"Associated with the union of Eros and Psyche, symbolizing true love.","The number 2 signifies balance, partnership, and duality.",Heart Chakra,"Depicts two figures exchanging cups, with a caduceus between them and a lion's head above.","In some decks, the Two of Cups is shown as a scene of harmonious union and partnership.","Two figures exchanging cups, with a caduceus between them and a lion's head above, symbolizing partnership and harmony."
38,Three of Cups,Cups,Minor,3,Water,Mercury in Cancer,"Celebration, friendship, community","Celebration, friendship, and a sense of community.","Isolation, overindulgence, and gossip.","Three cups (celebration), dancing figures (joy), harvest (abundance)","""I celebrate friendship and community, embracing the joy they bring.""",Representing joyous occasions and the celebration of friendships and community.,Emphasizing the importance of social connections and celebrating with friends.,"Linked to the Graces, goddesses of charm, beauty, and creativity.","The number 3 signifies growth, expansion, and creativity.",Heart Chakra,"Depicts three women dancing in a circle, raising their cups in celebration.","In some decks, the Three of Cups is shown as a scene of celebration and community.","Three women dancing in a circle, raising their cups in celebration, symbolizing friendship and community."
39,Four of Cups,Cups,Minor,4,Water,Moon in Cancer,"Contemplation, apathy, reevaluation","Contemplation, reevaluation, and a sense of apathy.","New opportunities, awareness, and acceptance.","Four cups (opportunities), seated figure (contemplation), tree (growth)","""I reevaluate my options and embrace new opportunities with awareness.""",Representing the need to reevaluate one's current situation and consider new opportunities.,Emphasizing the importance of taking time for introspection and being open to new possibilities.,"Associated with Narcissus, who was absorbed in his own reflection.","The number 4 signifies stability, contemplation, and reevaluation.",Heart Chakra,"Depicts a seated figure under a tree, contemplating three cups, with a fourth cup being offered by a hand emerging from a cloud.","In some decks, the Four of Cups is shown as a figure deep in contemplation, symbolizing reevaluation and introspection.","A seated figure under a tree, contemplating three cups, with a fourth cup being offered by a hand emerging from a cloud, symbolizing contemplation and reevaluation."
40,Five of Cups,Cups,Minor,5,Water,Mars in Scorpio,"Loss, regret, disappointment","Loss, regret, and focusing on what is lost rather than what remains.","Acceptance, moving on, and finding new hope.","Spilled cups (loss), standing cups (hope), figure (grief)","""I acknowledge my losses and focus on the hope and opportunities that remain.""",Representing the feelings of regret and disappointment in the face of loss.,Emphasizing the importance of moving beyond loss and finding hope in remaining opportunities.,"Linked to the story of Orpheus, who mourned the loss of Eurydice.","The number 5 signifies change, conflict, and the process of overcoming adversity.",Heart Chakra,"Depicts a cloaked figure standing in front of three spilled cups, with two upright cups behind them.","In some decks, the Five of Cups is shown as a figure grieving or focusing on loss, with symbols of remaining hope in the background.","A cloaked figure standing in front of three spilled cups, with two upright cups behind them, symbolizing loss and the potential for new hope."
41,Six of Cups,Cups,Minor,6,Water,Sun in Scorpio,"Nostalgia, memories, childhood","Nostalgia, pleasant memories, and connections to childhood.","Living in the past, clinging to nostalgia, and reluctance to move forward.","Six cups (memories), flowers (innocence), children (childhood)","""I cherish my memories and use them to inspire my present and future.""",Representing the fond memories of the past and the connections to one's childhood.,Emphasizing the value of nostalgia and the importance of learning from the past.,"Associated with the myth of Persephone, reflecting on her time in the underworld and her return to the surface.","The number 6 signifies harmony, memories, and the balance of past and present.",Heart Chakra,"Depicts two children in a garden, one handing a cup filled with flowers to the other.","In some decks, the Six of Cups is shown as scenes of childhood or the sharing of memories.","Two children in a garden, one handing a cup filled with flowers to the other, symbolizing nostalgia and childhood memories."
